product_cd	category_major_cd	category_medium_cd	category_small_cd	unit_price	unit_cost	category_major_name	category_medium_name	category_small_name
P040102018	04	0401	040102	498.0	374.0	惣菜	御飯類	寿司類
P040102019	04	0401	040102	598.0	449.0	惣菜	御飯類	寿司類
P040102020	04	0401	040102	980.0	735.0	惣菜	御飯類	寿司類
P040102021	04	0401	040102	1780.0	1335.0	惣菜	御飯類	寿司類
P040102022	04	0401	040102	3000.0	2250.0	惣菜	御飯類	寿司類
P040102023	04	0401	040102	5000.0	3750.0	惣菜	御飯類	寿司類
P040102024	04	0401	040102	5000.0	3750.0	惣菜	御飯類	寿司類
P040201001	04	0402	040201	148.0	111.0	惣菜	佃煮類	魚介佃煮類
P040201002	04	0402	040201	178.0	134.0	惣菜	佃煮類	魚介佃煮類
P040201003	04	0402	040201	198.0	149.0	惣菜	佃煮類	魚介佃煮類
P040201004	04	0402	040201	248.0	186.0	惣菜	佃煮類	魚介佃煮類
P040201005	04	0402	040201	258.0	194.0	惣菜	佃煮類	魚介佃煮類
P040201006	04	0402	040201	298.0	224.0	惣菜	佃煮類	魚介佃煮類
P040202001	04	0402	040202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202002	04	0402	040202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202003	04	0402	040202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202004	04	0402	040202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202005	04	0402	040202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202006	04	0402	040202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202007	04	0402	040202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202008	04	0402	040202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202009	04	0402	040202	198.0	149.0	惣菜	佃煮類	海草佃煮類
P040202010	04	0402	040202	198.0	149.0	惣菜	佃煮類	海草佃煮類
P040202011	04	0402	040202	198.0	149.0	惣菜	佃煮類	海草佃煮類
P040202012	04	0402	040202	298.0	224.0	惣菜	佃煮類	海草佃煮類
P040203001	04	0402	040203	188.0	141.0	惣菜	佃煮類	野菜佃煮類
P040203002	04	0402	040203	428.0	321.0	惣菜	佃煮類	野菜佃煮類
P040204001	04	0402	040204	158.0	119.0	惣菜	佃煮類	豆佃煮類
P040204002	04	0402	040204	188.0	141.0	惣菜	佃煮類	豆佃煮類
P040204003	04	0402	040204	188.0	141.0	惣菜	佃煮類	豆佃煮類
P040204004	04	0402	040204	188.0	141.0	惣菜	佃煮類	豆佃煮類
P040204005	04	0402	040204	198.0	149.0	惣菜	佃煮類	豆佃煮類
P040204006	04	0402	040204	198.0	149.0	惣菜	佃煮類	豆佃煮類
P040204007	04	0402	040204	198.0	149.0	惣菜	佃煮類	豆佃煮類
P040204008	04	0402	040204	198.0	149.0	惣菜	佃煮類	豆佃煮類
P040204009	04	0402	040204	398.0	299.0	惣菜	佃煮類	豆佃煮類
P040301001	04	0403	040301	248.0	186.0	惣菜	サラダ類	サラダ類
P040301002	04	0403	040301	248.0	186.0	惣菜	サラダ類	サラダ類
P040301003	04	0403	040301	278.0	209.0	惣菜	サラダ類	サラダ類
P040301004	04	0403	040301	298.0	224.0	惣菜	サラダ類	サラダ類
P040301005	04	0403	040301	298.0	224.0	惣菜	サラダ類	サラダ類
P040401001	04	0404	040401	118.0	89.0	惣菜	和風惣菜	炒め・煮物類
P040401002	04	0404	040401	138.0	104.0	惣菜	和風惣菜	炒め・煮物類
P040401003	04	0404	040401	198.0	149.0	惣菜	和風惣菜	炒め・煮物類
P040401004	04	0404	040401	228.0	171.0	惣菜	和風惣菜	炒め・煮物類
P040401005	04	0404	040401	228.0	171.0	惣菜	和風惣菜	炒め・煮物類
P040401006	04	0404	040401	248.0	186.0	惣菜	和風惣菜	炒め・煮物類
P040401007	04	0404	040401	258.0	194.0	惣菜	和風惣菜	炒め・煮物類
P040401008	04	0404	040401	278.0	209.0	惣菜	和風惣菜	炒め・煮物類
P040401009	04	0404	040401	278.0	209.0	惣菜	和風惣菜	炒め・煮物類
P040401010	04	0404	040401	298.0	224.0	惣菜	和風惣菜	炒め・煮物類
P040401011	04	0404	040401	298.0	224.0	惣菜	和風惣菜	炒め・煮物類
P040401012	04	0404	040401	338.0	254.0	惣菜	和風惣菜	炒め・煮物類
P040401013	04	0404	040401	358.0	269.0	惣菜	和風惣菜	炒め・煮物類
P040401014	04	0404	040401	398.0	299.0	惣菜	和風惣菜	炒め・煮物類
P040401015	04	0404	040401	398.0	299.0	惣菜	和風惣菜	炒め・煮物類
P040401016	04	0404	040401	398.0	299.0	惣菜	和風惣菜	炒め・煮物類
P040401017	04	0404	040401	398.0	299.0	惣菜	和風惣菜	炒め・煮物類
P040401018	04	0404	040401	398.0	299.0	惣菜	和風惣菜	炒め・煮物類
P040402001	04	0404	040402	228.0	171.0	惣菜	和風惣菜	和え物
P040403001	04	0404	040403	198.0	149.0	惣菜	和風惣菜	酢の物
P040403002	04	0404	040403	248.0	186.0	惣菜	和風惣菜	酢の物
P040403003	04	0404	040403	248.0	186.0	惣菜	和風惣菜	酢の物
P040403004	04	0404	040403	248.0	186.0	惣菜	和風惣菜	酢の物
P040403005	04	0404	040403	248.0	186.0	惣菜	和風惣菜	酢の物
P040403006	04	0404	040403	278.0	209.0	惣菜	和風惣菜	酢の物
P040403007	04	0404	040403	298.0	224.0	惣菜	和風惣菜	酢の物
P040403008	04	0404	040403	298.0	224.0	惣菜	和風惣菜	酢の物
P040404001	04	0404	040404	180.0	135.0	惣菜	和風惣菜	その他和風惣菜
P040404002	04	0404	040404	198.0	149.0	惣菜	和風惣菜	その他和風惣菜
P040404003	04	0404	040404	198.0	149.0	惣菜	和風惣菜	その他和風惣菜
P040404004	04	0404	040404	235.0	176.0	惣菜	和風惣菜	その他和風惣菜
P040404005	04	0404	040404	248.0	186.0	惣菜	和風惣菜	その他和風惣菜
P040404006	04	0404	040404	278.0	209.0	惣菜	和風惣菜	その他和風惣菜
P040404007	04	0404	040404	278.0	209.0	惣菜	和風惣菜	その他和風惣菜
P040404008	04	0404	040404	288.0	216.0	惣菜	和風惣菜	その他和風惣菜
P040404009	04	0404	040404	338.0	254.0	惣菜	和風惣菜	その他和風惣菜
P040404010	04	0404	040404	398.0	299.0	惣菜	和風惣菜	その他和風惣菜
P040404011	04	0404	040404	478.0	359.0	惣菜	和風惣菜	その他和風惣菜
P040404012	04	0404	040404	548.0	411.0	惣菜	和風惣菜	その他和風惣菜
P040501001	04	0405	040501	100.0	75.0	惣菜	フライ物	フライ物
P040501002	04	0405	040501	180.0	135.0	惣菜	フライ物	フライ物
P040501003	04	0405	040501	220.0	165.0	惣菜	フライ物	フライ物
P040501004	04	0405	040501	278.0	209.0	惣菜	フライ物	フライ物
P040501005	04	0405	040501	278.0	209.0	惣菜	フライ物	フライ物
P040501006	04	0405	040501	298.0	224.0	惣菜	フライ物	フライ物
P040501007	04	0405	040501	298.0	224.0	惣菜	フライ物	フライ物
P040501008	04	0405	040501	298.0	224.0	惣菜	フライ物	フライ物
P040501009	04	0405	040501	298.0	224.0	惣菜	フライ物	フライ物
P040501010	04	0405	040501	318.0	239.0	惣菜	フライ物	フライ物
P040502001	04	0405	040502	208.0	156.0	惣菜	フライ物	唐揚げ類
P040502002	04	0405	040502	278.0	209.0	惣菜	フライ物	唐揚げ類
P040502003	04	0405	040502	298.0	224.0	惣菜	フライ物	唐揚げ類
P040502004	04	0405	040502	298.0	224.0	惣菜	フライ物	唐揚げ類
P040502005	04	0405	040502	298.0	224.0	惣菜	フライ物	唐揚げ類
P040502006	04	0405	040502	298.0	224.0	惣菜	フライ物	唐揚げ類
P040502007	04	0405	040502	298.0	224.0	惣菜	フライ物	唐揚げ類
P040503001	04	0405	040503	298.0	224.0	惣菜	フライ物	天麩羅類
P040504001	04	0405	040504	180.0	135.0	惣菜	フライ物	チキンロースト類
P040504002	04	0405	040504	218.0	164.0	惣菜	フライ物	チキンロースト類
P040504003	04	0405	040504	288.0	216.0	惣菜	フライ物	チキンロースト類
P040504004	04	0405	040504	288.0	216.0	惣菜	フライ物	チキンロースト類
P040504005	04	0405	040504	308.0	231.0	惣菜	フライ物	チキンロースト類
P040504006	04	0405	040504	338.0	254.0	惣菜	フライ物	チキンロースト類
P040504007	04	0405	040504	338.0	254.0	惣菜	フライ物	チキンロースト類
P040504008	04	0405	040504	358.0	269.0	惣菜	フライ物	チキンロースト類
P040504009	04	0405	040504	468.0	351.0	惣菜	フライ物	チキンロースト類
P040504010	04	0405	040504	498.0	374.0	惣菜	フライ物	チキンロースト類
P040601001	04	0406	040601	278.0	209.0	惣菜	洋風惣菜	グラタン・ピザ類
P040602001	04	0406	040602	405.0	304.0	惣菜	洋風惣菜	スナック類
P040602002	04	0406	040602	440.0	330.0	惣菜	洋風惣菜	スナック類
P040603001	04	0406	040603	1980.0	1485.0	惣菜	洋風惣菜	その他洋風惣菜
P040701001	04	0407	040701	208.0	156.0	惣菜	中華惣菜	中華惣菜
P040701002	04	0407	040701	208.0	156.0	惣菜	中華惣菜	中華惣菜
P040701003	04	0407	040701	268.0	201.0	惣菜	中華惣菜	中華惣菜
P040701004	04	0407	040701	278.0	209.0	惣菜	中華惣菜	中華惣菜
P040701005	04	0407	040701	288.0	216.0	惣菜	中華惣菜	中華惣菜
P040701006	04	0407	040701	298.0	224.0	惣菜	中華惣菜	中華惣菜
P040701007	04	0407	040701	298.0	224.0	惣菜	中華惣菜	中華惣菜
P040701008	04	0407	040701	298.0	224.0	惣菜	中華惣菜	中華惣菜
P040701009	04	0407	040701	358.0	269.0	惣菜	中華惣菜	中華惣菜
P040801001	04	0408	040801	78.0	59.0	惣菜	焼き物	うなぎ蒲焼
P040801002	04	0408	040801	88.0	66.0	惣菜	焼き物	うなぎ蒲焼
P040801003	04	0408	040801	148.0	111.0	惣菜	焼き物	うなぎ蒲焼
P040801004	04	0408	040801	248.0	186.0	惣菜	焼き物	うなぎ蒲焼
P040801005	04	0408	040801	918.0	689.0	惣菜	焼き物	うなぎ蒲焼
P040802001	04	0408	040802	80.0	60.0	惣菜	焼き物	その他やきもの
P040802002	04	0408	040802	100.0	75.0	惣菜	焼き物	その他やきもの
P040802003	04	0408	040802	258.0	194.0	惣菜	焼き物	その他やきもの
P040802004	04	0408	040802	368.0	276.0	惣菜	焼き物	その他やきもの
P040802005	04	0408	040802	368.0	276.0	惣菜	焼き物	その他やきもの
P040802006	04	0408	040802	438.0	329.0	惣菜	焼き物	その他やきもの
P040802007	04	0408	040802			惣菜	焼き物	その他やきもの
P041302001	04	0413	041302	450.0	338.0	惣菜	その他	その他
P050101001	05	0501	050101	40.0	30.0	和日配	水物	豆腐
P050101002	05	0501	050101	128.0	96.0	和日配	水物	豆腐
P050101003	05	0501	050101	138.0	104.0	和日配	水物	豆腐
P050101004	05	0501	050101	138.0	104.0	和日配	水物	豆腐
P050101005	05	0501	050101	145.0	109.0	和日配	水物	豆腐
P050101006	05	0501	050101	158.0	119.0	和日配	水物	豆腐
P050101007	05	0501	050101	168.0	126.0	和日配	水物	豆腐
P050101008	05	0501	050101	168.0	126.0	和日配	水物	豆腐
P050101009	05	0501	050101	208.0	156.0	和日配	水物	豆腐
P050102001	05	0501	050102	60.0	45.0	和日配	水物	油揚げ・がんも
P050102002	05	0501	050102	138.0	104.0	和日配	水物	油揚げ・がんも
P050102003	05	0501	050102	185.0	139.0	和日配	水物	油揚げ・がんも
P050102004	05	0501	050102	188.0	141.0	和日配	水物	油揚げ・がんも
P050102005	05	0501	050102	198.0	149.0	和日配	水物	油揚げ・がんも
P050102006	05	0501	050102	215.0	161.0	和日配	水物	油揚げ・がんも
P050103001	05	0501	050103	78.0	59.0	和日配	水物	コンニャク
P050103002	05	0501	050103	80.0	60.0	和日配	水物	コンニャク
P050103003	05	0501	050103	88.0	66.0	和日配	水物	コンニャク
P050103004	05	0501	050103	110.0	83.0	和日配	水物	コンニャク
P050103005	05	0501	050103	128.0	96.0	和日配	水物	コンニャク
P050103006	05	0501	050103	128.0	96.0	和日配	水物	コンニャク
P050103007	05	0501	050103	128.0	96.0	和日配	水物	コンニャク
P050103008	05	0501	050103	128.0	96.0	和日配	水物	コンニャク
P050103009	05	0501	050103	128.0	96.0	和日配	水物	コンニャク
P050103010	05	0501	050103	130.0	98.0	和日配	水物	コンニャク
P050103011	05	0501	050103	135.0	101.0	和日配	水物	コンニャク
P050103012	05	0501	050103	148.0	111.0	和日配	水物	コンニャク
P050103013	05	0501	050103	148.0	111.0	和日配	水物	コンニャク
P050103014	05	0501	050103	158.0	119.0	和日配	水物	コンニャク
P050103015	05	0501	050103	158.0	119.0	和日配	水物	コンニャク
P050103016	05	0501	050103	165.0	124.0	和日配	水物	コンニャク
P050103017	05	0501	050103	215.0	161.0	和日配	水物	コンニャク
P050103018	05	0501	050103	235.0	176.0	和日配	水物	コンニャク
P050103019	05	0501	050103	245.0	184.0	和日配	水物	コンニャク
P050103020	05	0501	050103	268.0	201.0	和日配	水物	コンニャク
P050103021	05	0501	050103			和日配	水物	コンニャク
P050104001	05	0501	050104	115.0	86.0	和日配	水物	その他水物
P050104002	05	0501	050104	115.0	86.0	和日配	水物	その他水物
P050104003	05	0501	050104	118.0	89.0	和日配	水物	その他水物
P050104004	05	0501	050104	138.0	104.0	和日配	水物	その他水物
P050104005	05	0501	050104	138.0	104.0	和日配	水物	その他水物
P050104006	05	0501	050104	188.0	141.0	和日配	水物	その他水物
P050104007	05	0501	050104	188.0	141.0	和日配	水物	その他水物
P050104008	05	0501	050104	188.0	141.0	和日配	水物	その他水物
P050104009	05	0501	050104	188.0	141.0	和日配	水物	その他水物
P050104010	05	0501	050104	210.0	158.0	和日配	水物	その他水物
P050104011	05	0501	050104	210.0	158.0	和日配	水物	その他水物
P050104012	05	0501	050104	740.0	555.0	和日配	水物	その他水物
P050201001	05	0502	050201	138.0	104.0	和日配	漬物	ぬか漬け
P050201002	05	0502	050201	188.0	141.0	和日配	漬物	ぬか漬け
P050201003	05	0502	050201	195.0	146.0	和日配	漬物	ぬか漬け
P050201004	05	0502	050201	195.0	146.0	和日配	漬物	ぬか漬け
P050201005	05	0502	050201	198.0	149.0	和日配	漬物	ぬか漬け
P050201006	05	0502	050201	218.0	164.0	和日配	漬物	ぬか漬け
P050201007	05	0502	050201	220.0	165.0	和日配	漬物	ぬか漬け
P050201008	05	0502	050201	228.0	171.0	和日配	漬物	ぬか漬け
P050201009	05	0502	050201	235.0	176.0	和日配	漬物	ぬか漬け
P050201010	05	0502	050201	238.0	179.0	和日配	漬物	ぬか漬け
P050201011	05	0502	050201	450.0	338.0	和日配	漬物	ぬか漬け
P050202001	05	0502	050202	120.0	90.0	和日配	漬物	塩漬け
P050202002	05	0502	050202	145.0	109.0	和日配	漬物	塩漬け
P050202003	05	0502	050202	155.0	116.0	和日配	漬物	塩漬け
P050202004	05	0502	050202	155.0	116.0	和日配	漬物	塩漬け
P050202005	05	0502	050202	160.0	120.0	和日配	漬物	塩漬け
P050202006	05	0502	050202	185.0	139.0	和日配	漬物	塩漬け
P050202007	05	0502	050202	188.0	141.0	和日配	漬物	塩漬け
P050202008	05	0502	050202	188.0	141.0	和日配	漬物	塩漬け
P050202009	05	0502	050202	198.0	149.0	和日配	漬物	塩漬け
P050202010	05	0502	050202	198.0	149.0	和日配	漬物	塩漬け
P050202011	05	0502	050202	198.0	149.0	和日配	漬物	塩漬け
P050202012	05	0502	050202	198.0	149.0	和日配	漬物	塩漬け
P050202013	05	0502	050202	198.0	149.0	和日配	漬物	塩漬け
P050202014	05	0502	050202	208.0	156.0	和日配	漬物	塩漬け
P050202015	05	0502	050202	208.0	156.0	和日配	漬物	塩漬け
P050202016	05	0502	050202	220.0	165.0	和日配	漬物	塩漬け
P050202017	05	0502	050202	220.0	165.0	和日配	漬物	塩漬け
P050202018	05	0502	050202	228.0	171.0	和日配	漬物	塩漬け
P050202019	05	0502	050202	235.0	176.0	和日配	漬物	塩漬け
P050202020	05	0502	050202	235.0	176.0	和日配	漬物	塩漬け
P050202021	05	0502	050202	235.0	176.0	和日配	漬物	塩漬け
P050202022	05	0502	050202	235.0	176.0	和日配	漬物	塩漬け
P050202023	05	0502	050202	235.0	176.0	和日配	漬物	塩漬け
P050202024	05	0502	050202	268.0	201.0	和日配	漬物	塩漬け
P050202025	05	0502	050202	298.0	224.0	和日配	漬物	塩漬け
P050202026	05	0502	050202	298.0	224.0	和日配	漬物	塩漬け
P050202027	05	0502	050202	308.0	231.0	和日配	漬物	塩漬け
P050202028	05	0502	050202	325.0	244.0	和日配	漬物	塩漬け
P050202029	05	0502	050202	338.0	254.0	和日配	漬物	塩漬け
P050202030	05	0502	050202	378.0	284.0	和日配	漬物	塩漬け
P050202031	05	0502	050202	438.0	329.0	和日配	漬物	塩漬け
P050202032	05	0502	050202	530.0	398.0	和日配	漬物	塩漬け
P050202033	05	0502	050202	618.0	464.0	和日配	漬物	塩漬け
P050202034	05	0502	050202	688.0	516.0	和日配	漬物	塩漬け
P050202035	05	0502	050202	688.0	516.0	和日配	漬物	塩漬け
P050202036	05	0502	050202	960.0	720.0	和日配	漬物	塩漬け
P050202037	05	0502	050202	980.0	735.0	和日配	漬物	塩漬け
P050203001	05	0502	050203	145.0	109.0	和日配	漬物	醤油漬け
P050203002	05	0502	050203	150.0	113.0	和日配	漬物	醤油漬け
P050203003	05	0502	050203	155.0	116.0	和日配	漬物	醤油漬け
P050203004	05	0502	050203	155.0	116.0	和日配	漬物	醤油漬け
P050203005	05	0502	050203	178.0	134.0	和日配	漬物	醤油漬け
P050203006	05	0502	050203	178.0	134.0	和日配	漬物	醤油漬け
P050203007	05	0502	050203	178.0	134.0	和日配	漬物	醤油漬け
P050203008	05	0502	050203	188.0	141.0	和日配	漬物	醤油漬け
P050203009	05	0502	050203	198.0	149.0	和日配	漬物	醤油漬け
P050203010	05	0502	050203	208.0	156.0	和日配	漬物	醤油漬け
P050203011	05	0502	050203	208.0	156.0	和日配	漬物	醤油漬け
P050203012	05	0502	050203	220.0	165.0	和日配	漬物	醤油漬け
P050203013	05	0502	050203	220.0	165.0	和日配	漬物	醤油漬け
P050203014	05	0502	050203	228.0	171.0	和日配	漬物	醤油漬け
P050203015	05	0502	050203	248.0	186.0	和日配	漬物	醤油漬け
P050203016	05	0502	050203	260.0	195.0	和日配	漬物	醤油漬け
P050203017	05	0502	050203	260.0	195.0	和日配	漬物	醤油漬け
P050203018	05	0502	050203	265.0	199.0	和日配	漬物	醤油漬け
P050203019	05	0502	050203	288.0	216.0	和日配	漬物	醤油漬け
P050203020	05	0502	050203	298.0	224.0	和日配	漬物	醤油漬け
P050203021	05	0502	050203	298.0	224.0	和日配	漬物	醤油漬け
P050203022	05	0502	050203	298.0	224.0	和日配	漬物	醤油漬け
P050203023	05	0502	050203	298.0	224.0	和日配	漬物	醤油漬け
P050203024	05	0502	050203	298.0	224.0	和日配	漬物	醤油漬け
P050203025	05	0502	050203	298.0	224.0	和日配	漬物	醤油漬け
P050203026	05	0502	050203	308.0	231.0	和日配	漬物	醤油漬け
P050203027	05	0502	050203	325.0	244.0	和日配	漬物	醤油漬け
P050203028	05	0502	050203	338.0	254.0	和日配	漬物	醤油漬け
P050204001	05	0502	050204	150.0	113.0	和日配	漬物	粕漬け
P050204002	05	0502	050204	155.0	116.0	和日配	漬物	粕漬け
P050204003	05	0502	050204	180.0	135.0	和日配	漬物	粕漬け
P050204004	05	0502	050204	218.0	164.0	和日配	漬物	粕漬け
P050204005	05	0502	050204	218.0	164.0	和日配	漬物	粕漬け
P050204006	05	0502	050204	268.0	201.0	和日配	漬物	粕漬け
P050204007	05	0502	050204	268.0	201.0	和日配	漬物	粕漬け
P050204008	05	0502	050204	295.0	221.0	和日配	漬物	粕漬け
P050205001	05	0502	050205	148.0	111.0	和日配	漬物	酢漬け
P050205002	05	0502	050205	198.0	149.0	和日配	漬物	酢漬け
P050205003	05	0502	050205	230.0	173.0	和日配	漬物	酢漬け
P050205004	05	0502	050205	258.0	194.0	和日配	漬物	酢漬け
P050205005	05	0502	050205	258.0	194.0	和日配	漬物	酢漬け
P050205006	05	0502	050205	298.0	224.0	和日配	漬物	酢漬け
P050205007	05	0502	050205	310.0	233.0	和日配	漬物	酢漬け
P050205008	05	0502	050205	398.0	299.0	和日配	漬物	酢漬け
P050205009	05	0502	050205	548.0	411.0	和日配	漬物	酢漬け
P050206001	05	0502	050206	198.0	149.0	和日配	漬物	味噌漬け
P050207001	05	0502	050207	130.0	98.0	和日配	漬物	その他漬物
P050207002	05	0502	050207	155.0	116.0	和日配	漬物	その他漬物
P050207003	05	0502	050207	155.0	116.0	和日配	漬物	その他漬物
P050207004	05	0502	050207	198.0	149.0	和日配	漬物	その他漬物
P050207005	05	0502	050207	208.0	156.0	和日配	漬物	その他漬物
P050207006	05	0502	050207	208.0	156.0	和日配	漬物	その他漬物
P050207007	05	0502	050207	208.0	156.0	和日配	漬物	その他漬物
P050207008	05	0502	050207	208.0	156.0	和日配	漬物	その他漬物
P050207009	05	0502	050207	270.0	203.0	和日配	漬物	その他漬物
P050207010	05	0502	050207	270.0	203.0	和日配	漬物	その他漬物
P050207011	05	0502	050207	285.0	214.0	和日配	漬物	その他漬物
P050207012	05	0502	050207	288.0	216.0	和日配	漬物	その他漬物
P050207013	05	0502	050207	288.0	216.0	和日配	漬物	その他漬物
P050207014	05	0502	050207	348.0	261.0	和日配	漬物	その他漬物
P050207015	05	0502	050207	355.0	266.0	和日配	漬物	その他漬物
P050207016	05	0502	050207	368.0	276.0	和日配	漬物	その他漬物
P050207017	05	0502	050207	378.0	284.0	和日配	漬物	その他漬物
P050207018	05	0502	050207	378.0	284.0	和日配	漬物	その他漬物
P050207019	05	0502	050207	388.0	291.0	和日配	漬物	その他漬物
P050207020	05	0502	050207	388.0	291.0	和日配	漬物	その他漬物
P050207021	05	0502	050207	388.0	291.0	和日配	漬物	その他漬物
P050207022	05	0502	050207	398.0	299.0	和日配	漬物	その他漬物
P050207023	05	0502	050207	480.0	360.0	和日配	漬物	その他漬物
P050207024	05	0502	050207	498.0	374.0	和日配	漬物	その他漬物
P050207025	05	0502	050207	498.0	374.0	和日配	漬物	その他漬物
P050207026	05	0502	050207	538.0	404.0	和日配	漬物	その他漬物
P050301001	05	0503	050301	25.0	19.0	和日配	生麺	生うどん
P050301002	05	0503	050301	65.0	49.0	和日配	生麺	生うどん
P050301003	05	0503	050301	65.0	49.0	和日配	生麺	生うどん
P050301004	05	0503	050301	65.0	49.0	和日配	生麺	生うどん
P050301005	05	0503	050301	70.0	53.0	和日配	生麺	生うどん
P050301006	05	0503	050301	75.0	56.0	和日配	生麺	生うどん
P050301007	05	0503	050301	75.0	56.0	和日配	生麺	生うどん
P050301008	05	0503	050301	78.0	59.0	和日配	生麺	生うどん
P050301009	05	0503	050301	98.0	74.0	和日配	生麺	生うどん
P050301010	05	0503	050301	108.0	81.0	和日配	生麺	生うどん
P050301011	05	0503	050301	120.0	90.0	和日配	生麺	生うどん
P050301012	05	0503	050301	128.0	96.0	和日配	生麺	生うどん
P050301013	05	0503	050301	128.0	96.0	和日配	生麺	生うどん
P050301014	05	0503	050301	138.0	104.0	和日配	生麺	生うどん
P050301015	05	0503	050301	138.0	104.0	和日配	生麺	生うどん
P050301016	05	0503	050301	138.0	104.0	和日配	生麺	生うどん
P050301017	05	0503	050301	138.0	104.0	和日配	生麺	生うどん
P050301018	05	0503	050301	138.0	104.0	和日配	生麺	生うどん
P050301019	05	0503	050301	148.0	111.0	和日配	生麺	生うどん
P050301020	05	0503	050301	158.0	119.0	和日配	生麺	生うどん
P050301021	05	0503	050301	188.0	141.0	和日配	生麺	生うどん
P050301022	05	0503	050301	188.0	141.0	和日配	生麺	生うどん
P050301023	05	0503	050301	188.0	141.0	和日配	生麺	生うどん
P050301024	05	0503	050301	188.0	141.0	和日配	生麺	生うどん
P050301025	05	0503	050301	188.0	141.0	和日配	生麺	生うどん
P050301026	05	0503	050301	198.0	149.0	和日配	生麺	生うどん
P050301027	05	0503	050301	198.0	149.0	和日配	生麺	生うどん
P050301028	05	0503	050301	198.0	149.0	和日配	生麺	生うどん
P050301029	05	0503	050301	198.0	149.0	和日配	生麺	生うどん
P050301030	05	0503	050301	198.0	149.0	和日配	生麺	生うどん
P050301031	05	0503	050301	208.0	156.0	和日配	生麺	生うどん
P050301032	05	0503	050301	228.0	171.0	和日配	生麺	生うどん
P050301033	05	0503	050301	238.0	179.0	和日配	生麺	生うどん
P050301034	05	0503	050301	248.0	186.0	和日配	生麺	生うどん
P050301035	05	0503	050301	248.0	186.0	和日配	生麺	生うどん
P050301036	05	0503	050301	258.0	194.0	和日配	生麺	生うどん
P050301037	05	0503	050301	278.0	209.0	和日配	生麺	生うどん
P050301038	05	0503	050301	278.0	209.0	和日配	生麺	生うどん
P050302001	05	0503	050302	80.0	60.0	和日配	生麺	生そば
P050302002	05	0503	050302	95.0	71.0	和日配	生麺	生そば
P050302003	05	0503	050302	158.0	119.0	和日配	生麺	生そば
P050302004	05	0503	050302	250.0	188.0	和日配	生麺	生そば
P050302005	05	0503	050302	298.0	224.0	和日配	生麺	生そば
P050302006	05	0503	050302	298.0	224.0	和日配	生麺	生そば
P050303001	05	0503	050303	75.0	56.0	和日配	生麺	生ラーメン
P050303002	05	0503	050303	105.0	79.0	和日配	生麺	生ラーメン
P050303003	05	0503	050303	128.0	96.0	和日配	生麺	生ラーメン
P050303004	05	0503	050303	128.0	96.0	和日配	生麺	生ラーメン
P050303005	05	0503	050303	130.0	98.0	和日配	生麺	生ラーメン
P050303006	05	0503	050303	138.0	104.0	和日配	生麺	生ラーメン
